model,batch,seq,gamma,mode,mean_ms,median_ms,std_ms,min_ms,max_ms,n_samples
Qwen2.5-7B,0,0,0,target_decode,9.531484693877552,9.525,0.08866482417832042,9.511,10.763,196
Qwen2.5-7B,1,256,0,target_decode,9.545127551020409,9.528,0.03019056640736299,9.492,9.639,784
Qwen2.5-7B,1,512,0,target_decode,9.593275510204082,9.59,0.01072579932366069,9.571,9.655,784
Qwen2.5-7B,1,1024,0,target_decode,9.614392857142857,9.608,0.014696895007476625,9.588,9.684,784
Qwen2.5-7B,1,2048,0,target_decode,9.656966836734695,9.637,0.03500704431492037,9.616,9.761,784
Qwen2.5-7B,1,4096,0,target_decode,9.656813775510203,9.704,0.08188403171773216,9.521,10.416,784
Qwen2.5-7B,2,256,0,target_decode,9.544005102040817,9.543,0.009990926892354576,9.518,9.597,784
Qwen2.5-7B,2,512,0,target_decode,9.552130102040817,9.551,0.012132975953214173,9.528,9.622,784
Qwen2.5-7B,2,1024,0,target_decode,9.56815943877551,9.562,0.01817324989344874,9.532,9.635,784
Qwen2.5-7B,2,2048,0,target_decode,9.6278125,9.592500000000001,0.059445731043834334,9.565,9.773,784
Qwen2.5-7B,2,4096,0,target_decode,9.632332908163265,9.709,0.1273800846501452,9.421,10.421,784
Qwen2.5-7B,4,256,0,target_decode,9.448201530612245,9.447,0.010456634169994197,9.42,9.49,784
Qwen2.5-7B,4,512,0,target_decode,9.45627806122449,9.455,0.013057656926494915,9.423,9.529,784
Qwen2.5-7B,4,1024,0,target_decode,9.509228316326531,9.473,0.06258085070788462,9.435,9.641,784
Qwen2.5-7B,4,2048,0,target_decode,9.648257653061224,9.604,0.07393944878716448,9.569,9.792,784
Qwen2.5-7B,4,4096,0,target_decode,9.739821428571428,9.752,0.04608239885287829,9.67,10.675,784
Qwen2.5-7B,8,256,0,target_decode,9.699375,9.699,0.012519091423256605,9.663,9.743,784
Qwen2.5-7B,8,512,0,target_decode,9.749600765306122,9.715499999999999,0.05910440617715435,9.676,9.873,784
Qwen2.5-7B,8,1024,0,target_decode,9.879049744897959,9.842,0.07050517457843689,9.584,10.008,784
Qwen2.5-7B,8,2048,0,target_decode,10.087042091836734,9.985,0.1891128228971382,9.592,10.392,784
Qwen2.5-7B,8,4096,0,target_decode,10.18740943877551,10.357,0.2492011798907539,9.702,10.775,784
Qwen2.5-7B,16,256,0,target_decode,9.888315051020408,9.858,0.06434435200735521,9.559,10.01,784
Qwen2.5-7B,16,512,0,target_decode,10.013372448979592,9.984,0.08511255597018412,9.483,10.155,784
Qwen2.5-7B,16,1024,0,target_decode,10.220530612244898,10.121,0.18586749858714488,9.593,10.525,784
Qwen2.5-7B,16,2048,0,target_decode,10.644232142857144,10.497,0.32845524459376413,9.589,11.132,784
Qwen2.5-7B,16,4096,0,target_decode,10.7463125,11.103,0.48847279197776644,9.532,11.139,784
Qwen2.5-7B,24,256,0,target_decode,10.16532525510204,10.134,0.10018195489598067,9.53,10.293,784
Qwen2.5-7B,24,512,0,target_decode,10.34699107142857,10.275,0.1409365270098347,9.826,10.59,784
Qwen2.5-7B,24,1024,0,target_decode,10.673670918367346,10.552,0.2849114067606778,9.637,11.097,784
Qwen2.5-7B,24,2048,0,target_decode,11.30055612244898,11.079,0.5694106871937311,9.635,12.153,784
Qwen2.5-7B,24,4096,0,target_decode,11.435520408163265,12.128,0.8788488143065375,9.704,12.161,784
Qwen2.5-7B,32,256,0,target_decode,10.609195153061224,10.367,0.39650534267630966,9.693,11.237,784
Qwen2.5-7B,32,512,0,target_decode,11.261456632653061,11.202,0.26017386495771877,9.479,12.09,784
Qwen2.5-7B,32,1024,0,target_decode,11.626354591836735,11.535,0.5030388641850134,9.493,12.234,784
Qwen2.5-7B,32,2048,0,target_decode,12.356849489795918,12.201,0.8828381249357647,9.586,14.903,784
Qwen2.5-7B,32,4096,0,target_decode,12.545019132653062,13.525,1.168185703318096,9.707,14.668,784
Qwen2.5-7B,48,256,0,target_decode,11.604983418367347,11.346,0.48089998214612834,9.965,12.343,784
Qwen2.5-7B,48,512,0,target_decode,12.318424744897959,12.294,0.4129889084690452,9.479,12.654,784
Qwen2.5-7B,48,1024,0,target_decode,12.65289668367347,12.626,0.6748714939700793,9.59,13.33,784
Qwen2.5-7B,48,2048,0,target_decode,13.296720663265306,13.293,1.137298020087338,9.588,14.667,784
Qwen2.5-7B,48,4096,0,target_decode,13.286119897959184,14.5915,1.521061116613011,9.704,14.703,784
Qwen2.5-7B,64,256,0,target_decode,12.059846938775511,11.808,0.4537932837299744,10.567,16.573,784
Qwen2.5-7B,64,512,0,target_decode,12.719051020408163,12.686,0.5481516322633551,9.47,18.598,784
Qwen2.5-7B,64,1024,0,target_decode,13.067160714285714,13.016,0.8899710355540564,9.577,22.389,784
Qwen2.5-7B,64,2048,0,target_decode,13.687804846938775,13.672,1.3458806007578357,9.642,24.912,784
Qwen2.5-7B,64,4096,0,target_decode,14.239375850340137,14.989,1.4727815540178806,9.714,15.792,588
Qwen2.5-7B,0,0,3,drafter_decode,4.302615384615384,4.2955000000000005,0.048816243618550144,4.273,4.635,52
Qwen2.5-7B,1,256,3,drafter_decode,4.311495192307692,4.308,0.0202281665193805,4.279,4.43,208
Qwen2.5-7B,1,512,3,drafter_decode,4.335620192307692,4.331,0.026024607009735003,4.302,4.582,208
Qwen2.5-7B,1,1024,3,drafter_decode,4.376288461538461,4.359,0.039276100113603156,4.33,4.561,208
Qwen2.5-7B,1,2048,3,drafter_decode,4.486913461538461,4.424,0.10158779174407785,4.392,4.916,208
Qwen2.5-7B,1,4096,3,drafter_decode,4.57964705882353,4.616,0.08606225803054852,4.28,5.003,204
Qwen2.5-7B,2,256,3,drafter_decode,4.470119791666667,4.481,0.05472607870118896,4.272,4.556,192
Qwen2.5-7B,2,512,3,drafter_decode,4.498010416666666,4.504,0.05940349114349174,4.299,4.622,192
Qwen2.5-7B,2,1024,3,drafter_decode,4.572958333333333,4.545,0.09975875787680952,4.323,5.022,192
Qwen2.5-7B,2,2048,3,drafter_decode,4.707322916666667,4.686,0.09761882219069629,4.397,4.93,192
Qwen2.5-7B,2,4096,3,drafter_decode,4.706411458333333,4.809,0.1531952266215962,4.469,5.032,192
Qwen2.5-7B,4,256,3,drafter_decode,4.493098958333333,4.489,0.0196000747663477,4.461,4.637,192
Qwen2.5-7B,4,512,3,drafter_decode,4.544614583333333,4.512499999999999,0.057821420294313614,4.48,4.761,192
Qwen2.5-7B,4,1024,3,drafter_decode,4.666505208333334,4.632,0.06897992707464529,4.522,4.913,192
Qwen2.5-7B,4,2048,3,drafter_decode,4.809177083333333,4.761,0.08455284227628461,4.704,5.2,192
Qwen2.5-7B,4,4096,3,drafter_decode,4.807171875,4.921,0.18404949436936197,4.508,5.213,192
Qwen2.5-7B,8,256,3,drafter_decode,4.580885416666667,4.545,0.0944631976086099,4.509,5.628,192
Qwen2.5-7B,8,512,3,drafter_decode,4.6775520833333335,4.639,0.06242740198980897,4.622,4.802,192
Qwen2.5-7B,8,1024,3,drafter_decode,4.820364583333333,4.773,0.07502036300063437,4.749,4.968,192
Qwen2.5-7B,8,2048,3,drafter_decode,5.0330478723404255,4.931,0.17929055928256585,4.857,5.374,188
Qwen2.5-7B,8,4096,3,drafter_decode,5.1725666666666665,5.32,0.19013326993242272,4.854,5.353,180
Qwen2.5-7B,16,256,3,drafter_decode,4.998583333333333,4.957,0.0791625230843612,4.929,5.648,192
Qwen2.5-7B,16,512,3,drafter_decode,5.1376875,5.083,0.13615111811274555,5.052,6.338,192
Qwen2.5-7B,16,1024,3,drafter_decode,5.3276382978723404,5.216,0.21943514511230025,4.914,6.764,188
Qwen2.5-7B,16,2048,3,drafter_decode,5.757651162790697,5.61,0.4651430583546121,4.9,9.075,172
Qwen2.5-7B,16,4096,3,drafter_decode,6.320916666666666,6.272,0.4758193238426911,5.044,10.498,168
Qwen2.5-7B,24,256,3,drafter_decode,6.568197916666667,6.527,0.06975200945393706,6.505,6.97,192
Qwen2.5-7B,24,512,3,drafter_decode,6.681664893617021,6.664,0.3507588403854488,4.688,7.013,188
Qwen2.5-7B,24,1024,3,drafter_decode,6.854895348837209,6.937,0.743845988415051,4.686,7.581,172
Qwen2.5-7B,24,2048,3,drafter_decode,7.460307692307692,7.462,0.9963404044245289,4.75,8.546,156
Qwen2.5-7B,24,4096,3,drafter_decode,7.5824423076923075,8.5015,1.0875789640765112,4.637,8.54,156
Qwen2.5-7B,32,256,3,drafter_decode,6.734619791666667,6.6655,0.11748755631538862,6.644,7.418,192
Qwen2.5-7B,32,512,3,drafter_decode,6.924994680851064,6.868,0.34864772373510916,5.197,8.328,188
Qwen2.5-7B,32,1024,3,drafter_decode,7.196633720930232,7.196,0.7113877958253372,5.198,7.939,172
Qwen2.5-7B,32,2048,3,drafter_decode,7.959282894736842,7.928,1.0665535161839186,5.32,9.306,152
