model,batch,seq,gamma,mode,mean_ms,median_ms,std_ms,min_ms,max_ms,n_samples
Llama-3.1-8B-Instruct,0,0,3,drafter_decode,4.730535714285714,4.675,0.13851891426945862,4.652,5.325,56
Llama-3.1-8B-Instruct,1,256,3,drafter_decode,4.681955357142857,4.679,0.01618275026532586,4.653,4.747,224
Llama-3.1-8B-Instruct,1,512,3,drafter_decode,4.723763392857143,4.705,0.06307552807033563,4.68,5.543,224
Llama-3.1-8B-Instruct,1,1024,3,drafter_decode,4.823477678571429,4.766,0.09286148343043364,4.742,5.048,224
Llama-3.1-8B-Instruct,1,2048,3,drafter_decode,5.435883928571428,4.983499999999999,4.471048924884312,4.927,67.307,224
Llama-3.1-8B-Instruct,1,4096,3,drafter_decode,5.073522727272727,5.1434999999999995,0.14249570828054,4.657,5.519,220
Llama-3.1-8B-Instruct,2,256,3,drafter_decode,4.881485576923077,4.907,0.0882616870155711,4.653,5.014,208
Llama-3.1-8B-Instruct,2,512,3,drafter_decode,4.984331730769231,4.943,0.272020478329861,4.681,6.624,208
Llama-3.1-8B-Instruct,2,1024,3,drafter_decode,5.066956730769231,5.0634999999999994,0.1300047306938754,4.735,5.394,208
Llama-3.1-8B-Instruct,2,2048,3,drafter_decode,5.237961538461539,5.209,0.14232489355400177,4.927,5.596,208
Llama-3.1-8B-Instruct,2,4096,3,drafter_decode,5.2380288461538465,5.424,0.2439483376340388,4.645,5.635,208
Llama-3.1-8B-Instruct,4,256,3,drafter_decode,4.937302884615384,4.9295,0.09061923093799343,4.645,5.116,208
Llama-3.1-8B-Instruct,4,512,3,drafter_decode,5.043254807692308,5.029,0.11827282582838479,4.668,5.298,208
Llama-3.1-8B-Instruct,4,1024,3,drafter_decode,5.203677884615384,5.1815,0.14948370758118926,4.734,5.644,208
Llama-3.1-8B-Instruct,4,2048,3,drafter_decode,5.477336538461539,5.374,0.24902746528295738,4.93,6.096,208
Llama-3.1-8B-Instruct,4,4096,3,drafter_decode,5.547139423076923,5.831,0.3843398943387765,4.655,6.124,208
Llama-3.1-8B-Instruct,8,256,3,drafter_decode,5.0649855769230765,5.059,0.1323784823636465,4.648,5.223,208
Llama-3.1-8B-Instruct,8,512,3,drafter_decode,5.2071250000000004,5.201,0.16465523562388626,4.665,5.38,208
Llama-3.1-8B-Instruct,8,1024,3,drafter_decode,5.453961538461538,5.366,0.26846793538519426,4.728,5.826,208
Llama-3.1-8B-Instruct,8,2048,3,drafter_decode,5.95093137254902,5.816,0.3946502788010073,4.939,6.64,204
Llama-3.1-8B-Instruct,8,4096,3,drafter_decode,6.125357142857143,6.562,0.5275699054421178,4.651,6.585,196
Llama-3.1-8B-Instruct,16,256,3,drafter_decode,5.641004807692307,5.643,0.2998917276050695,4.634,6.389,208
Llama-3.1-8B-Instruct,16,512,3,drafter_decode,5.9098605769230765,5.875,0.3923794436642847,4.711,7.442,208
Llama-3.1-8B-Instruct,16,1024,3,drafter_decode,6.374108910891089,6.2715,0.6027146532593465,4.753,8.609,202
Llama-3.1-8B-Instruct,16,2048,3,drafter_decode,7.2591182795698925,7.138,1.0925723858704988,4.955,11.206,186
Llama-3.1-8B-Instruct,16,4096,3,drafter_decode,7.724260869565217,8.654,1.3038767698784834,4.661,14.854,184
Llama-3.1-8B-Instruct,24,256,3,drafter_decode,6.894317307692308,6.985,0.6472992388582988,4.646,7.316,208
Llama-3.1-8B-Instruct,24,512,3,drafter_decode,7.193372549019608,7.289,0.8119359631810694,4.761,7.928,204
Llama-3.1-8B-Instruct,24,1024,3,drafter_decode,7.70581914893617,7.8975,1.2984338979858943,4.808,9.661,188
Llama-3.1-8B-Instruct,24,2048,3,drafter_decode,8.959488372093023,9.111,2.024290303731688,4.939,11.582,172
Llama-3.1-8B-Instruct,24,4096,3,drafter_decode,9.169505813953489,9.442,2.459511731834253,4.683,11.567,172
Llama-3.1-8B-Instruct,32,256,3,drafter_decode,7.278826923076923,7.33,0.7581627480352495,4.721,8.913,208
Llama-3.1-8B-Instruct,32,512,3,drafter_decode,7.774681372549019,7.81,0.9850923896787717,4.818,8.788,204
Llama-3.1-8B-Instruct,32,1024,3,drafter_decode,8.682489361702128,8.763,1.6445556638305143,4.786,10.875,188
Llama-3.1-8B-Instruct,32,2048,3,drafter_decode,10.567589285714286,10.7,2.864189031183449,4.95,18.011,168
Llama-3.1-8B-Instruct,32,4096,3,drafter_decode,10.95180625,8.869499999999999,3.5685908525518397,4.831,14.99,160
Llama-3.1-8B-Instruct,48,256,3,drafter_decode,8.598583333333334,8.843,1.2238318559918917,4.77,9.47,204
Llama-3.1-8B-Instruct,48,512,3,drafter_decode,8.987148936170213,9.44,1.8083304940083158,4.748,10.678,188
Llama-3.1-8B-Instruct,48,1024,3,drafter_decode,10.155848837209302,10.629,2.59314503676415,4.777,13.165,172
Llama-3.1-8B-Instruct,48,2048,3,drafter_decode,12.415756578947368,13.012,3.91236123888536,5.016,17.823,152
Llama-3.1-8B-Instruct,48,4096,3,drafter_decode,12.834202702702703,10.7365,4.563722916281321,4.957,17.837,148
Llama-3.1-8B-Instruct,64,256,3,drafter_decode,10.011918367346938,10.704,2.162848016394098,4.66,12.015,196
Llama-3.1-8B-Instruct,64,512,3,drafter_decode,10.9245,11.456,2.2950598782863567,4.815,13.086,188
Llama-3.1-8B-Instruct,64,1024,3,drafter_decode,12.294773809523809,12.996500000000001,3.3313663750148246,4.841,16.116,168
Llama-3.1-8B-Instruct,64,2048,3,drafter_decode,14.682573529411764,16.062,5.6165264309988725,4.97,22.3,136
Llama-3.1-8B-Instruct,64,4096,3,drafter_decode,17.709095238095237,22.211,7.211946149821757,5.193,22.441,84
Llama-3.1-8B-Instruct,0,0,3,target_decode_sd,10.456125,10.442,0.03438204473268018,10.422,10.505,8
Llama-3.1-8B-Instruct,1,256,3,target_decode_sd,10.4616875,10.4535,0.053125194496797444,10.38,10.562,32
Llama-3.1-8B-Instruct,1,512,3,target_decode_sd,10.4799375,10.442499999999999,0.07936032058825719,10.37,10.615,32
Llama-3.1-8B-Instruct,1,1024,3,target_decode_sd,10.5764375,10.533,0.10292525866359405,10.431,10.763,32
